Квартира,Корпус,Этаж,Комнат,Планировка,"Площадь, м²","Цена за м², руб.","Цена, руб.","Цена продажи, руб.","Скидка, руб.",Менеджер,Дата сделки,Дата обращения,Дней в работе,Вид
М-ГП1-А-001,ГП1,1,2,12ЛКС,55.33,"31,256","1,729,394","1,729,394",,Иван,7/29/2022,7/27/2022,2,на дорогу
М-ГП1-А-002,ГП1,2,2,12ЛКС,55.33,"35,889","1,985,738","1,985,738",,Саша,7/6/2022,5/28/2022,39,на дорогу
М-ГП1-А-003,ГП1,2,2,ТС1ЛК2,59.86,"35,889","2,148,316",,,,,,,на реку
М-ГП1-А-004,ГП1,2,1,СКЛ1,35.97,"45,267","1,628,254","1,528,254","100,000",Лиана,7/26/2022,7/14/2022,12,на реку
М-ГП1-А-005,ГП1,2,3,ТСС123ЛК,95.71,"30,000","2,871,300","2,661,300","210,000",Иван,6/28/2022,6/22/2022,6,на реку
М-ГП1-А-006,ГП1,2,1,1СТЛ,30.45,"34,230","1,042,316","842,316","200,000",Филипп,6/13/2022,5/27/2022,17,окна в окна
М-ГП1-А-007,ГП1,2,2,СКЛ12,54.86,"28,711","1,575,096",,,,,,,окна в окна
М-ГП1-А-008,ГП1,2,1,1ЛКС,38.21,"43,781","1,672,872","1,472,872","200,000",Филипп,6/10/2022,5/29/2022,12,на дорогу
М-ГП1-А-009,ГП1,3,2,12ЛКС,55.33,"37,683","2,085,025",,,,,,,на дорогу
М-ГП1-А-010,ГП1,3,2,ТС1ЛК2,59.86,"37,683","2,255,731",,,,,,,на реку
М-ГП1-А-011,ГП1,3,1,СКЛ1,35.97,"47,530","1,709,667","1,709,667",,Иван,7/26/2022,7/15/2022,11,на реку
М-ГП1-А-012,ГП1,3,3,ТСС123ЛК,95.71,"31,500","3,014,865","3,014,865",,Лиана,6/16/2022,5/25/2022,22,на реку
М-ГП1-А-013,ГП1,3,1,1СТЛ,30.45,"35,942","1,094,431","1,094,431",,Саша,6/24/2022,5/18/2022,37,окна в окна
